File #,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
T2016-4036,,Oversight,Committee,Committee on Civil Service and Labor,,0,Oversight - Examining the Civil Service System
T2016-4009,,Tour,Committee,Committee on Veterans,,0,"Tour: The Steven & Alexandra Cohen Military Family Clinic at NYU School of Medicine Location: One Park Avenue, 8th Floor New York, NY 10016"
T2016-4008,,Oversight,Committee,Committee on Education,,0,Oversight - DOE’s Support for Students who are Homeless or in Temporary Housing
T2016-4007,,Oversight,Committee,Committee on Education,,0,Oversight - DOE’s Support for Students who are Homeless or in Temporary Housing
T2016-4006,,Introduction,Committee,Committee on Public Safety,Melissa Mark-Viverito,4,"A Local Law to amend the New York city charter, in relation to permitting ECB to use community service as an alternative to fines."
T2016-4005,,Introduction,Committee,Committee on Public Safety,Melissa Mark-Viverito,1,"A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to penalties for violating certain park rules."
T2016-4004,,Introduction,Committee,Committee on Public Safety,Vanessa L. Gibson,2,"A Local Law to amend the administrative code of the city of New York, in relation to the penalties for possessing an open container of alcohol."
T2016-4003,,Introduction,Reported from Committee and Introduced,Committee on Public Safety,Melissa Mark-Viverito,1,"A Local Law to amend the administrative code of the city of New York, in relation to the penalties for excessive noise."
T2016-4002,,Introduction,Committee,Committee on Public Safety,Rory I. Lancman,2,"A Local Law to amend the administrative code of the city of New York, in relation to the penalties for littering, and to repeal subdivision 5 of section 16-118 of the administrative code of the city of New York, relating to the distribution of advertising matter."
T2016-4001,,Introduction,Committee,Committee on Public Safety,Melissa Mark-Viverito,1,"A Local Law to amend the administrative code of the city of New York, in relation to the enforcement of criminal and civil offenses."
T2016-4000,,Oversight,Deferred,Committee on Consumer Affairs,,0,Oversight – The City’s Efforts to Combat Real Property Deed Fraud.
T2016-3999,,Oversight,Committee,Committee on Finance,,0,Oversight – The City’s Efforts to Combat Real Property Deed Fraud.
T2016-3998,,Oversight,Committee,Committee on Immigration,,0,Oversight - How can the City support ethnic media to ensure that immigrant communities receive information on local matters?
LU 0331-2016,,Land Use Application,Committee,Subcommittee on Zoning and Franchises,David G. Greenfield,1,"Application No. C 150418 ZSM submitted by 150 Wooster LLC pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-712(b) of the Zoning Resolution to modify height, setback, and permitted obstructions regulations for a proposed 8-story building on property located at 150 Wooster Street (Block 514, Lots 7 and 9) Borough of Manhattan, Community Board 2, Council District 1."
